26009
"                         open      high       low     close
tt                                                         
2024-07-04 15:18:15  53096.55  53096.55  53091.10  53093.15
2024-07-04 15:18:30  53099.65  53105.15  53090.25  53102.95
2024-07-04 15:18:45  53103.90  53103.90  53094.65  53102.40
2024-07-04 15:19:00  53102.60  53105.90  53096.55  53101.55
2024-07-04 15:19:15  53104.60  53110.20  53100.75  53105.00
2024-07-04 15:19:30  53106.60  53113.80  53106.60  53112.35
2024-07-04 15:19:45  53111.45  53115.65  53111.45  53115.00
2024-07-04 15:20:00  53115.60  53117.15  53111.40  53111.55
2024-07-04 15:20:15  53114.30  53115.50  53102.25  53106.40
2024-07-04 15:20:30  53108.55  53113.75  53101.25  53106.90
2024-07-04 15:20:45  53108.45  53114.75  53091.00  53092.00
2024-07-04 15:21:00  53095.85  53099.65  53094.25  53097.25
2024-07-04 15:21:15  53101.85  53104.65  53097.85  53103.80
2024-07-04 15:21:30  53105.65  53106.15  53100.65  53102.50
2024-07-04 15:21:45  53104.00  53104.00  53095.95  53095.95
2024-07-04 15:22:00  53096.80  53102.05  53096.80  53101.30
2024-07-04 15:22:15  53102.30  53102.85  53089.15  53089.15
2024-07-04 15:22:30  53092.30  53097.90  53090.50  53094.55
2024-07-04 15:22:45  53090.40  53099.40  53090.05  53090.60
2024-07-04 15:23:00  53091.15  53096.10  53090.35  53096.10
2024-07-04 15:23:15  53095.35  53100.60  53092.55  53098.10
2024-07-04 15:23:30  53099.35  53105.75  53097.40  53098.85
2024-07-04 15:23:45  53097.50  53105.00  53095.70  53097.60
2024-07-04 15:24:00  53098.05  53103.35  53094.15  53100.35
2024-07-04 15:24:15  53092.65  53101.85  53091.20  53101.40
2024-07-04 15:24:30  53100.45  53110.45  53100.45  53109.55
2024-07-04 15:24:45  53108.55  53113.30  53105.15  53109.05
2024-07-04 15:25:00  53108.30  53112.45  53104.20  53110.40
2024-07-04 15:25:15  53107.00  53108.95  53099.20  53108.95
2024-07-04 15:25:30  53108.90  53115.80  53106.80  53115.20
2024-07-04 15:25:45  53114.00  53117.45  53110.65  53116.60
2024-07-04 15:26:00  53115.15  53117.10  53109.30  53115.95
2024-07-04 15:26:15  53112.05  53115.55  53106.70  53109.80
2024-07-04 15:26:30  53109.90  53114.35  53105.50  53111.70
2024-07-04 15:26:45  53108.95  53112.75  53102.15  53102.15
2024-07-04 15:27:00  53102.05  53113.35  53100.00  53108.75
2024-07-04 15:27:15  53106.30  53114.40  53101.65  53101.65
2024-07-04 15:27:30  53102.50  53107.80  53101.50  53102.65
2024-07-04 15:27:45  53100.75  53103.80  53094.15  53094.15
2024-07-04 15:28:00  53092.00  53098.45  53091.95  53096.30
2024-07-04 15:28:15  53096.05  53107.90  53092.50  53105.50
2024-07-04 15:28:30  53107.50  53107.50  53096.85  53096.85
2024-07-04 15:28:45  53094.15  53102.10  53090.80  53099.65
2024-07-04 15:29:00  53103.60  53110.65  53098.20  53103.30
2024-07-04 15:29:15  53100.80  53105.95  53096.15  53099.10
2024-07-04 15:29:30  53096.05  53104.75  53076.55  53086.50
2024-07-04 15:29:45  53084.95  53093.60  53072.85  53083.75
2024-07-04 15:30:00  53084.55  53084.55  53084.55  53084.55
2024-07-04 15:32:00  53093.65  53103.70  53093.65  53103.70"
